prompt,answer
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Compatibility Inquiry
Body: Dear Customer Support,

I recently purchased a MacBook Air M1 from your store. I need to know if this model is compatible with my external wireless monitor setup. Please provide the necessary information at your earliest convenience.

Thank you,
<name>
Language: en
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Problema con el teclado del Dell XPS 13
Body: Estimado soporte al cliente,

Espero que se encuentre bien. Recientemente compré un Dell XPS 13 9310 en su tienda, pero estoy experimentando problemas con su teclado. No responde y creo que necesita un reemplazo. ¿Podría ayudarme con el proceso para resolver este problema? Mi número de cuenta es <acc_num>. Gracias de antemano por su cooperación.

Atentamente,
<name>
<tel_num>
Language: es
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Request for Canon PIXMA MG3620 Exchange
Body: Hello Tech Online Store, I purchased the Canon PIXMA MG3620, but it isn’t connecting to Wi-Fi. I request an exchange, as troubleshooting steps haven't helped. My order number is <order_num>. Thank you.
Language: en
Business type: Tech Online Store

Answer:",Returns and Exchanges
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Consulta sobre la identificación del método de resolución de URL
Body: Hola,

Estoy escribiendo para preguntar sobre el método de Resolución de URL utilizado en su producto 'Solo comprobación de daños'. ¿Podría proporcionar información y documentación sobre sus detalles y cómo se puede identificar? Cualquier ayuda que pueda proporcionar sería muy apreciada. Gracias por su tiempo y apoyo.

Atentamente,
<name>
Language: es
Business type: Software Development Company

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Dringende Kundenanfrage: Jira Software 8.20 Upgrade
Body: Sehr geehrtes Kundensupport-Team, unser Kunde, <name>, hat dringend angefordert, dass wir unser Projektmanagement-Tool auf Jira Software 8.20 aktualisieren. Sie benötigen dieses Upgrade, um auf die verbesserten Funktionen des Ticketsystems zuzugreifen, die in dieser Version bereitgestellt werden. Das derzeit betroffene Produkt ist Jira Software, das für das Projektmanagement verwendet wird. Bitte priorisieren Sie diese Anfrage und unterstützen Sie uns bei den notwendigen Schritten für das Software-Update. Wenn Sie weitere Informationen benötigen oder Fragen haben, kontaktieren Sie mich bitte direkt unter <tel_num>. Vielen Dank für Ihre schnelle Aufmerksamkeit in dieser Angelegenheit. Mit freundlichen Grüßen, <name>.
Language: de
Business type: Software Development Company

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Mudança Urgente de Configuração
Body: Caro Suporte ao Cliente de Serviços de TI, Precisamos urgentemente alterar a configuração do servidor e atualizar nosso sistema nos projetos atuais de consultoria em soluções de TI. Isso é de alta prioridade devido a requisitos urgentes. O produto afetado é Serviço de Consultoria em TI. Obrigado, <name>.
Language: pt
Business type: IT Services

Answer:",IT Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Sofortige Unterstützung erforderlich: Jira Software Probleme
Body: Sehr geehrter Kundenservice,

ich schreibe, um Probleme mit unseren Projektverfolgungs- und Scrum-Boards nach einem kürzlichen Systemupdate zu melden. Wir verwenden Jira Software 8.20. Die Projektverfolgung und die Scrum-Boards haben versagt. Dieses Problem benötigt eine sofortige Lösung. Bitte kümmern Sie sich dringend um die Angelegenheit.

Danke,

<name>
Kontonummer: <acc_num>
Telefon: <tel_num>
Language: de
Business type: IT Consulting Firm

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Urgent: Wi-Fi Issue with Canon PIXMA MG3620 Printer
Body: Dear Customer Support, 

My Canon PIXMA MG3620 printer stopped connecting to Wi-Fi after a recent firmware update. This issue is preventing mobile printing, which I rely on. Can you please assist with an immediate resolution for this problem?

Thank you, 
<name>
Language: en
Business type: Tech Online Store

Answer:",Product Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Asistencia necesaria para el problema de parpadeo de pantalla
Body: Estimado soporte de servicios de TI,

Estoy enfrentando un problema de parpadeo de pantalla inexplicable en mi Dell XPS 13 9310. ¿Podrían proporcionar asistencia para solucionar este problema? Su ayuda para resolver este asunto lo antes posible sería muy apreciada.

Gracias, <name>
Language: es
Business type: IT Services

Answer:",Technical Support
"You are a support ticket classification assistant.
Predict the ticket category from the information below.

Subject: Anfrage zur Rechnungsfehler
Body: Sehr geehrter Kundensupport, ich habe eine Überladung auf meiner aktuellen Rechnung für das IntelliJ IDEA 2024.1 Abonnement festgestellt. Bitte geben Sie eine detaillierte Erklärung ab und korrigieren Sie diesen Fehler. Meine Kontonummer ist <acc_num>. Vielen Dank für Ihre Unterstützung. Mit freundlichen Grüßen, <name>
Language: de
Business type: IT Services

Answer:",Billing and Payments
